S.No.,Division/Seat No.,Name of Member,Lok Sabha,Session,State,Constituency,Total Sittings,No. of days member signed the register
1,3,Smt.  Sonia  Gandhi                                            ,15,4,Uttar Pradesh                                               ,Rae Barelii,32,20
2,11,Shri  Ajit  Singh                                             ,15,4,Uttar Pradesh                                               ,Baghpat,32,M
3,14,Shri  Paban Singh  Ghatowar                                          ,15,4,Assam                                                       ,Dibrugarh,32,M
4,24,Shri  V. Kishore Chandra S.  Deo                                               ,15,4,Andhra Pradesh                                              ,Araku,32,M
5,25,Shri  Beni Prasad  Verma                                             ,15,4,Uttar Pradesh                                               ,Gonda,32,M
6,29,Shri  Harish  Rawat                                             ,15,4,Uttarakhand                                                 ,Hardwar,32,M
7,30,Smt.  Chandresh  Kumari                                            ,15,4,Rajasthan                                                   ,Jodhpur,32,M
8,38,Shri  Jitender  Singh                                             ,15,4,Haryana                                                     ,Sonipat,32,M
9,39,Shri  Manish  Tewari                                            ,15,4,Punjab                                                      ,Ludhiana,32,M
10,52,Dr.  Tusharbhai   A.  Chaudhari                                         ,15,4,Gujarat                                                     ,Bardoli,32,M
11,53,Shri  Pratik  Patil                                             ,15,4,Maharashtra                                                 ,Sangli,32,M
12,55,Dr.  Shashi  Tharoor                                           ,15,4,Kerala                                                      ,Thiruvananthapuram,32,M
13,57,Shri  K. C.  Venugopal                                         ,15,4,Kerala                                                      ,Alappuzha,32,M
14,58,Dr.  Charan Das  Mahant                                            ,15,4,Chhattisgarh                                                ,Korba,32,M
15,59,Shri  Milind  Deora                                             ,15,4,Maharashtra                                                 ,Mumbai-South,32,M
16,60,Shri    Kodikunnil  Suresh                                ,15,4,Kerala                                                      ,Mavelikkara,32,M
17,61,Shri  Rahul  Gandhi                                            ,15,4,Uttar Pradesh                                               ,Amethi,32,24
18,62,Shri  K. J.S.P.  Reddy                                             ,15,4,Andhra Pradesh                                              ,Kurnool,32,M
19,63,Shri  A.H.   Khan  Choudhury                                         ,15,4,West Bengal                                                 ,Maldaha Dakshin,32,M
20,64,Shri  Adhir Ranjan  Chowdhury                                         ,15,4,West Bengal                                                 ,Baharampur,32,M
21,65,Smt.  Ranee  Narah                                             ,15,4,Assam                                                       ,Lakhimpur,32,M
22,66,Shri   Sarvey  Sathyanarayana                                    ,15,4,Andhra Pradesh                                              ,Malkajgiri,32,M
23,67,Shri  Ninong  Ering                                             ,15,4,Arunachal Pradesh                                           ,Arunachal East,32,M
24,68,Smt.  Deepa  Dasmunsi                                          ,15,4,West Bengal                                                 ,Raiganj,32,M
25,69,Shri  P.  Balram  Naik                                      ,15,4,Andhra Pradesh                                              ,Mahabubabad,32,M
26,70,Dr.  Krupa Rani  Killi                                             ,15,4,Andhra Pradesh                                              ,Srikakulam,32,M
27,71,Shri  Lal Chand  Kataria                                           ,15,4,Rajasthan                                                   ,Jaipur Rural,32,M
28,72,Shri  Sandeep  Dikshit                                           ,15,4,Delhi                                                       ,East Delhi,32,29
29,73,Shri  J.M.  Aaron Rashid                                      ,15,4,Tamil Nadu                                                  ,Theni,32,28
30,75,Shri  Naveen  Jindal                                            ,15,4,Haryana                                                     ,Kurukshetra,32,28
31,76,Shri  Madhu Goud  Yaskhi                                            ,15,4,Andhra Pradesh                                              ,Nizamabad,32,31
32,77,Shri  Satpal  Maharaj                                           ,15,4,Uttarakhand                                                 ,Garhwal,32,28
33,78,Shri  Vijay  Bahuguna                                          ,15,4,Uttarakhand                                                 ,Tehri Garhwal,32,32
34,78,Shri  Vincent H.  Pala                                              ,15,4,Meghalaya                                                   ,Shillong,32,M
35,79,Shri  Madan Lal  Sharma                                            ,15,4,Jammu and Kashmir                                           ,Jammu,32,31
36,80,Chaudhary  Lal  Singh                                             ,15,4,Jammu and Kashmir                                           ,Udhampur,32,30
37,81,Shri  Mohammed  Azharuddin                                        ,15,4,Uttar Pradesh                                               ,Moradabad,32,25
38,82,Shri  Hamdullah  Sayeed                                            ,15,4,Lakshadweep                                                 ,Lakshadweep,32,32
39,83,Shri  Ashok  Tanwar                                            ,15,4,Haryana                                                     ,Sirsa,32,29
40,84,Shri  K.C.  Singh Baba                                        ,15,4,Uttarakhand                                                 ,Nainital-Udhamsingh Nagar,32,25
41,85,Shri  Vijay Inder  Singla                                            ,15,4,Punjab                                                      ,Sangrur,32,M
42,88,Shri  Sabbam  Hari                                              ,15,4,Andhra Pradesh                                              ,Anakapalli,32,25
43,89,Shri  Ravneet  Singh                                             ,15,4,Punjab                                                      ,Anandpur Sahib,32,31
44,90,Shri  Mahabal  Mishra                                            ,15,4,Delhi                                                       ,West Delhi,32,31
45,91,Shri  Ramesh  Kumar                                             ,15,4,Delhi                                                       ,South Delhi,32,31
46,92,Shri  Ismail Hussain  ,15,4,Assam                                                       ,Barpeta,32,32
47,93,Shri  Mohammad Asrarul  Haque                                             ,15,4,Bihar                                                       ,Kishanganj,32,30
48,94,Shri  Takam  Sanjoy                                            ,15,4,Arunachal Pradesh                                           ,Arunachal West,32,25
49,97,Shri  P.  Viswanathan                                       ,15,4,Tamil Nadu                                                  ,Kancheepuram,32,30
50,98,Shri  Sheesh Ram  Ola                                               ,15,4,Rajasthan                                                   ,Jhunjhunu,32,29
51,99,Shri  T.R.  Baalu                                             ,15,4,Tamil Nadu                                                  ,Sriperumbudur,32,29
52,100,Shri  Vilasrao Baburao  Muttemwar                                         ,15,4,Maharashtra                                                 ,Nagpur,32,22
53,101,Shri  Manikrao Hodlya  Gavit                                             ,15,4,Maharashtra                                                 ,Nandurbar,32,M
54,102,Shri  Suresh  Kalmadi                                           ,15,4,Maharashtra                                                 ,Pune,32,24
55,105,Shri  Gurudas  Kamat                                             ,15,4,Maharashtra                                                 ,Mumbai-North-West,32,M
56,106,Dr.    Chinta Mohan                                      ,15,4,Andhra Pradesh                                              ,Tirupati,32,29
57,107,Shri  Biren Singh  Engti                                             ,15,4,Assam                                                       ,Autonomous District,32,32
58,108,Dr.  Kavuri Samba Siva  Rao                                               ,15,4,Andhra Pradesh                                              ,Eluru,32,25
59,110,Shri  Jai Prakash  Agarwal                                           ,15,4,Delhi                                                       ,North East Delhi,32,32
60,112,Shri  Datta  Meghe                                             ,15,4,Maharashtra                                                 ,Wardha,32,31
61,113,Shri   Rayapati S.  Rao                                               ,15,4,Andhra Pradesh                                              ,Guntur,32,23
62,114,Shri  Raj  Babbar                                            ,15,4,Uttar Pradesh                                               ,Salempur,32,26
63,115,Dr.  Manda  Jagannath                                         ,15,4,Andhra Pradesh                                              ,Nagarkurnool,32,32
64,116,Shri  A. Venkatarami  Reddy                                             ,15,4,Andhra Pradesh                                              ,Anantapur,32,29
65,117,Shri  Somabhai Gandalal Koli  Patel                                             ,15,4,Gujarat                                                     ,Surendranagar,32,27
66,118,Shri  Avtar Singh  Bhadana                                           ,15,4,Haryana                                                     ,Faridabad,32,20
67,119,Shri  P.C.  Chacko                                            ,15,4,Kerala                                                      ,Thrissur,32,31
68,120,Dr.  Girija  Vyas                                              ,15,4,Rajasthan                                                   ,Chittorgarh,32,32
69,121,Shri  Inderjit Singh  Rao                                              ,15,4,Haryana                                                     ,Gurgaon,32,29
70,123,Shri  Sanjay  Nirupam                                           ,15,4,Maharashtra                                                 ,Mumbai-North,32,31
71,124,Shri  Dip  Gogoi                                             ,15,4,Assam                                                       ,Kaliabor,32,24
72,126,Shri  Francisco  Sardinha                                          ,15,4,Goa                                                         ,South Goa,32,30
73,127,Shri  Magunta Srinivasulu  Reddy                                             ,15,4,Andhra Pradesh                                              ,Ongole,32,20
74,128,Shri  N.S.V.  Chitthan                                          ,15,4,Tamil Nadu                                                  ,Dindigul,32,31
75,129,Dr.  Arvind Kumar  Sharma                                            ,15,4,Haryana                                                     ,Karnal,32,26
76,130,Dr.  Sanjay  Singh                                             ,15,4,Uttar Pradesh                                               ,Sultanpur,32,29
77,131,Shri  Jayant  Chaudhary                                         ,15,4,Uttar Pradesh                                               ,Mathura,32,31
78,132,Shri  Bhaskarrao  Patil  Khatgaonkar  ,15,4,Maharashtra                                                 ,Nanded,32,26
79,133,Shri  Deepender Singh  Hooda                                             ,15,4,Haryana                                                     ,Rohtak,32,25
80,134,Shri  Bhakta Charan  Das                                               ,15,4,Orissa                                                      ,Kalahandi,32,25
81,135,Shri  Tarachand  Bhagora                                           ,15,4,Rajasthan                                                   ,Banswara,32,31
82,136,Km.  Agatha K.  Sangma                                            ,15,4,Meghalaya                                                   ,Tura,32,M
83,137,Rajkumari  Ratna  Singh                                             ,15,4,Uttar Pradesh                                               ,Pratapgarh,32,26
84,138,Smt.  Priya  Dutt                                              ,15,4,Maharashtra                                                 ,Mumbai-North-Central,32,22
85,139,Smt.  Santosh  Chowdhary                                         ,15,4,Punjab                                                      ,Hoshiarpur,32,31
86,140,Sardar  Sukhdev  Singh    Libra                                    ,15,4,Punjab                                                      ,Fategarh Sabhib,32,31
87,141,Shri  Gajendra Singh  Rajukhedi                                         ,15,4,Madhya Pradesh                                              ,Dhar,32,28
88,142,Shri  Sanjay Singh  Chauhan                                           ,15,4,Uttar Pradesh                                               ,Bijnor,32,28
89,143,Shri  Anjan Kumar  Yadav. M                                          ,15,4,Andhra Pradesh                                              ,Secunderabad,32,25
90,144,Shri  Gutha  Sukender Reddy                                    ,15,4,Andhra Pradesh                                              ,Nalgonda,32,25
91,145,Shri  G.V.  Harsha Kumar                                      ,15,4,Andhra Pradesh                                              ,Amalapuram,32,22
92,146,Shri  Aruna Kumar  Vundavalli                                        ,15,4,Andhra Pradesh                                              ,Rajahmundry,32,32
93,147,Shri  S.P.Y.  Reddy                                             ,15,4,Andhra Pradesh                                              ,Nandyal,32,21
94,148,Shri  Lalit  Mohan  Suklabaidya                                       ,15,4,Assam                                                       ,Karimganj,32,32
95,149,Shri  Vikrambhai Arjanbhai  Maadam    Ahir                                    ,15,4,Gujarat                                                     ,Jamnagar,32,30
96,150,Shri    Lagadapati   Rajagopal                            ,15,4,Andhra Pradesh                                              ,Vijayawada,32,28
97,151,Smt.    Botcha Jhansi Lakshmi                             ,15,4,Andhra Pradesh                                              ,Vizianagaram,32,30
98,152,Smt.  Ingrid  Mcleod                                            ,15,4,Chhattisgarh                                                ,Nominated Anglo-Indian,32,31
99,153,Shri    Bapiraju  Kanumuru                                ,15,4,Andhra Pradesh                                              ,Narsapuram,32,31
100,154,Shri  Kishan V.  Patel                                             ,15,4,Gujarat                                                     ,Valsad,32,27
101,155,Shri  Eknath  Gaikwad                                           ,15,4,Maharashtra                                                 ,Mumbai-South-Central,32,32
102,156,Dr.  Thokchom  Meinya                                            ,15,4,Manipur                                                     ,Inner Manipur,32,32
103,157,Shri  M.  Krishnaswamy                                      ,15,4,Tamil Nadu                                                  ,Arani,32,29
